tower_id,tower_name,region,network_type,measurement_date,measurement_hour,avg_latency_ms,avg_download_speed_mbps,avg_upload_speed_mbps,packet_loss_pct,signal_strength_dbm,active_users,data_volume_gb,peak_concurrent_users,call_drop_rate_pct,handover_success_rate_pct,availability_pct
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,8,15.2,887.2,121.0,0.5,-76.1,3141,5723.2,3500,0.6,96.2,99.5
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,12,15.1,783.4,116.6,0.8,-73.0,3644,7034.3,4173,1.0,96.5,99.4
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,14,12.4,810.8,148.9,1.0,-72.7,1611,3441.4,1971,0.6,99.1,99.6
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,18,17.9,771.1,137.2,0.7,-72.6,3437,5320.2,4259,1.3,98.5,99.5
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,20,14.4,739.0,127.3,0.6,-74.2,3324,6752.9,3810,1.0,95.5,97.2
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-01,22,14.0,777.9,118.1,0.5,-68.5,2343,4460.3,2584,0.9,96.2,98.5
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,8,15.5,885.2,128.4,1.3,-74.5,2019,3994.9,2569,0.8,97.1,98.9
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,12,16.1,783.2,104.9,0.9,-70.3,3451,7503.6,4399,1.3,97.5,98.1
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,14,14.3,909.8,142.5,1.0,-66.6,3220,7676.8,4128,0.5,95.8,99.4
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,18,16.1,733.9,115.4,0.7,-72.0,3732,7886.2,4146,1.3,95.2,98.6
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,20,19.7,855.9,106.0,1.3,-70.7,5782,12165.3,7155,1.1,96.4,98.6
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-01,22,14.2,943.3,132.4,1.2,-71.2,3788,6080.9,4768,0.7,99.3,98.4
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,8,18.9,973.0,154.2,0.7,-69.1,3525,8048.5,4311,0.7,98.8,97.3
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,12,16.1,802.3,130.2,1.5,-73.5,3589,6608.2,4502,1.1,95.3,98.2
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,14,15.2,888.1,141.0,0.5,-68.1,3524,7422.4,3978,1.1,99.0,98.1
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,18,19.5,777.0,128.5,0.6,-73.2,5191,12419.6,6536,1.4,99.2,98.9
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,20,21.3,777.9,110.0,0.8,-73.3,3075,4919.3,3642,1.4,96.8,98.0
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-01,22,13.4,897.4,147.4,0.6,-69.9,3381,7705.5,3906,1.0,96.2,97.8
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,8,11.5,864.0,145.4,0.9,-69.3,4078,7724.6,5204,0.4,98.2,98.3
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,12,17.6,853.7,118.6,1.3,-71.1,3027,6965.8,3820,0.9,96.7,99.3
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,14,15.3,814.6,135.5,0.5,-74.6,3114,7256.8,3806,0.8,97.6,99.7
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,18,16.4,802.1,111.4,0.8,-72.7,3263,7755.8,4040,1.1,95.3,97.8
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,20,13.9,763.1,130.8,1.7,-71.3,4766,10349.8,6167,1.4,98.1,99.8
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-01,22,16.2,794.8,133.4,0.5,-68.2,3229,6217.9,4011,0.4,96.4,98.2
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,8,25.7,453.2,76.9,3.1,-75.0,1044,2483.8,1302,2.7,97.9,97.7
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,12,28.0,429.2,71.1,4.4,-76.5,1808,4368.1,2035,2.9,95.8,98.4
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,14,24.4,419.9,74.9,2.5,-81.0,1082,2417.7,1308,1.9,98.8,98.8
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,18,30.2,446.2,76.7,4.5,-77.5,1624,2628.1,1839,4.2,96.1,98.2
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,20,32.7,393.3,79.7,4.3,-80.7,1454,2236.6,1834,3.2,95.8,99.4
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-01,22,27.5,417.5,80.5,2.8,-79.6,807,1231.3,984,2.0,99.5,99.5
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,8,14.1,897.4,122.2,0.7,-73.9,3087,6402.1,3556,0.7,96.8,97.8
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,12,22.5,698.2,109.3,1.5,-67.0,2961,7218.4,3459,1.2,99.3,97.6
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,14,12.6,879.4,136.7,0.7,-74.6,3398,6368.5,3890,0.7,97.1,98.5
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,18,16.6,707.2,119.6,1.3,-71.1,3656,8581.5,4226,1.7,97.2,97.4
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,20,18.2,745.2,126.9,0.9,-74.4,5051,7928.3,5637,0.8,96.9,97.3
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-01,22,12.7,902.4,139.2,0.5,-70.3,2146,4655.3,2714,0.6,96.8,97.4
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,8,16.8,857.1,130.3,1.2,-67.9,2384,5206.5,3098,0.8,99.4,99.4
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,12,17.3,682.6,127.5,0.5,-73.8,4859,10081.9,5893,1.4,97.0,99.0
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,14,12.8,939.8,135.9,0.5,-68.0,3836,8012.5,4409,1.0,99.0,98.6
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,18,18.7,802.0,129.9,0.9,-73.8,4712,7860.9,5202,1.3,98.8,99.5
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,20,19.8,866.9,118.2,1.0,-74.1,3600,5429.1,4185,0.8,97.2,97.6
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-01,22,13.1,893.4,137.5,0.7,-72.1,3596,7509.4,4580,0.5,99.2,99.0
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,8,14.6,840.0,124.5,0.7,-69.7,2558,3922.5,2859,1.2,99.2,98.8
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,12,20.4,765.0,104.4,0.7,-74.8,3259,6767.4,4188,0.8,98.7,98.5
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,14,14.4,868.8,123.7,0.9,-68.7,3709,9085.3,4599,1.2,96.1,99.6
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,18,22.0,741.3,124.0,0.7,-71.4,4324,6959.6,5076,0.7,97.5,99.6
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,20,17.1,769.6,129.4,1.2,-69.1,4608,8037.4,5377,0.5,95.4,98.1
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-01,22,17.1,857.7,142.8,0.8,-72.1,1952,3867.1,2384,0.3,97.2,97.2
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,8,31.3,464.8,89.4,3.0,-78.4,737,1598.3,830,2.5,96.3,97.4
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,12,31.4,417.0,73.3,4.1,-77.8,1694,3171.2,2012,2.4,98.6,98.8
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,14,29.1,454.8,84.3,2.6,-78.6,970,2269.7,1099,2.7,95.8,97.2
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,18,29.6,411.1,74.9,3.3,-75.5,1060,2447.0,1204,2.3,95.9,98.8
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,20,31.1,410.9,74.1,4.0,-78.1,1345,2459.1,1479,4.3,98.5,98.5
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-01,22,27.6,419.7,76.4,3.2,-81.4,968,1457.1,1083,2.0,96.9,97.1
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,8,28.8,508.4,75.6,2.6,-77.8,645,1376.2,761,2.1,99.3,99.8
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,12,33.6,401.4,73.4,3.2,-80.9,1370,2892.2,1635,4.3,95.9,98.2
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,14,21.3,406.9,88.1,3.5,-75.1,1040,2466.5,1278,2.7,98.8,97.3
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,18,29.7,383.3,76.0,3.5,-75.5,1276,2829.4,1590,3.6,96.0,99.2
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,20,34.5,432.8,72.4,4.5,-76.9,1474,2257.6,1738,2.6,98.3,97.4
